stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
175,138,"ONTARIO ST + ROYAL HENLEY BLVD",,43.184563,-79.265520,,,,,,0
176,139,"ONTARIO ST + LINHAVEN",,43.183442,-79.266157,,,,,,0
177,140,"ONTARIO ST + HENLEY PLAZA",,43.181813,-79.267102,,,,,,0
178,141,"ONTARIO ST + HISCOTT RD",,43.177545,-79.266705,,,,,,0
179,142,"ONTARIO ST + 375 ONTARIO ST",,43.175177,-79.266197,,,,,,0
180,143,"ONTARIO ST + 343 ONTARIO ST",,43.172650,-79.265473,,,,,,0
181,144,"ONTARIO ST + SITEL",,43.170647,-79.264837,,,,,,0
182,145,"ONTARIO ST + 327 ONTARIO ST",,43.169495,-79.264337,,,,,,0
190,153,"ONTARIO ST + ADAMS ST",,43.157948,-79.252288,,,,,,0
191,154,"ONTARIO ST + NORRIS PL",,43.157240,-79.251080,,,,,,0
192,155,"CHURCH ST + WILLIAM ST",,43.157653,-79.249110,,,,,,0
193,156,"CHURCH ST + JAMES ST",,43.159370,-79.247535,,,,,,0
198,1189,"QUEENSTON ST + CHURCH ST",,43.163407,-79.235320,,,,,,0
199,201,"OAKDALE AVE + GALE CR",,43.162867,-79.232325,,,,,,0
200,202,"OAKDALE AVE + EASTCHESTER AVE",,43.160125,-79.229050,,,,,,0
201,203,"OAKDALE AVE + WESTCHESTER CRES",,43.158623,-79.229042,,,,,,0
202,1219,"292 OAKDALE AVE",,43.157057,-79.229193,,,,,,0
203,204,"OAKDALE AVE + CAPNER ST",,43.155047,-79.227167,,,,,,0
204,205,"OAKDALE AVE + MARREN ST",,43.153482,-79.225903,,,,,,0
205,206,"OAKDALE AVE + LINCOLN AVE",,43.152515,-79.224599,,,,,,0
206,207,"OAKDALE AVE + TURNER CR",,43.150422,-79.222438,,,,,,0
207,208,"OAKDALE AVE + DISHER ST",,43.147950,-79.221397,,,,,,0
208,209,"OAKDALE AVE + SMYTHE ST",,43.146758,-79.220452,,,,,,0
209,210,"OAKDALE AVE + ABBOT ST",,43.145558,-79.219402,,,,,,0
210,211,"OAKDALE AVE + HICKORY ST",,43.143190,-79.216382,,,,,,0
211,1218,"OAKDALE AVE + MERRITT ST",,43.143262,-79.214555,,,,,,0
213,214,"MERRITT ST + WALNUT ST",,43.140217,-79.213982,,,,,,0
214,215,"MERRITT ST + ALMOND ST",,43.138763,-79.214013,,,,,,0
215,216,"MERRITT ST + GLENDALE AVE",,43.137500,-79.213950,,,,,,0
216,217,"GLENDALE AVE + MOUNTAIN LOCKS PLAZA",,43.136338,-79.214530,,,,,,0
217,218,"GLENDALE AVE + MOUNTAIN ST",,43.135942,-79.217495,,,,,,0
218,219,"GLENDALE AVE + BURLEIGH HILL DR",,43.135123,-79.219458,,,,,,0
220,222,"GLENDALE AVE + BURLEIGH HILL DR",,43.134940,-79.219593,,,,,,0
221,239,"GLENDALE AVE + MOUNTAIN ST",,43.135893,-79.216303,,,,,,0
222,241,"MERRITT ST + ALMOND LN",,43.137907,-79.213855,,,,,,0
223,242,"MERRITT ST + WALNUT ST",,43.140265,-79.213975,,,,,,0
224,244,"OAKDALE AVE + MERRITT ST",,43.143348,-79.214578,,,,,,0
225,245,"OAKDALE AVE + HICKORY ST",,43.143300,-79.216685,,,,,,0
228,248,"OAKDALE AVE + SMYTHE ST",,43.147060,-79.220563,,,,,,0
229,249,"OAKDALE AVE + DISHER ST",,43.148062,-79.221388,,,,,,0
230,250,"OAKDALE AVE + TURNER CR",,43.150453,-79.222453,,,,,,0
231,251,"OAKDALE AVE + LINCOLN AVE",,43.152647,-79.224592,,,,,,0
234,1226,"276 OAKDALE AVE",,43.156103,-79.228430,,,,,,0
235,1220,"292 OAKDALE AVE",,43.157908,-79.228860,,,,,,0
237,255,"OAKDALE AVE + EASTCHESTER AVE W",,43.160538,-79.228987,,,,,,0
238,256,"OAKDALE AVE + GALE CR",,43.163053,-79.232353,,,,,,0
241,258,"QUEENSTON ST + CALVIN ST",,43.162962,-79.237665,,,,,,0
243,344,"LAKE ST + WELLAND AV",,43.162683,-79.250523,,,,,,0
244,345,"LAKE ST + LOUISA ST",,43.164043,-79.250612,,,,,,0
245,346,"LAKE ST + ALBERT ST",,43.165800,-79.250715,,,,,,0
246,347,"LAKE ST + BEECH ST",,43.167357,-79.250730,,,,,,0
248,349,"LAKE ST + RUSSELL AVE",,43.169868,-79.250890,,,,,,0
249,269,"LAKE ST + STUART AVE",,43.171330,-79.250953,,,,,,0
250,350,"LAKE ST + CARLTON ST",,43.172618,-79.251065,,,,,,0
251,351,"LAKE ST + ERINDALE AVE",,43.174367,-79.251160,,,,,,0
252,287,"LAKE ST + NORTH SERVICE RD",,43.180048,-79.251407,,,,,,0
253,352,"LAKE ST + SCOTT ST",,43.181742,-79.251478,,,,,,0
254,353,"LAKE ST + SKYWAY PRINTING",,43.183427,-79.251573,,,,,,0
255,354,"LAKE ST + NIHAN DR",,43.184682,-79.251637,,,,,,0
